StageName,InputFile,OutputFile
Face Tracking,/Users/bhuvaneshwaribhaskaran/PycharmProjects/videogaze/videoin/1.mp4,/Users/bhuvaneshwaribhaskaran/PycharmProjects/videogaze/track/output/1.mp4_faceTracks.csv

Frame number,Shot number,Face id,x_min,y_min,x_max,y_max
140,2,2,174.0,191.0,260.0,305.0
141,2,2,176.0,191.0,262.0,305.0
142,2,2,178.0,193.0,264.0,307.0
143,2,2,178.0,193.0,264.0,307.0
144,2,2,178.0,195.0,264.0,309.0
145,2,2,178.0,195.0,264.0,309.0
146,2,2,180.0,197.0,266.0,311.0
147,2,2,182.0,197.0,268.0,311.0
148,2,2,180.0,197.0,266.0,311.0
149,2,2,180.0,199.0,266.0,313.0
150,2,2,180.0,199.0,266.0,313.0
50,2,3,971,218,1071,326
51,2,3,971.0,218.0,1072.0,327.0
52,2,3,970.0,217.0,1071.0,326.0
53,2,3,969.0,218.0,1070.0,327.0
54,2,3,968.0,217.0,1069.0,326.0
55,2,3,967.0,218.0,1068.0,327.0
56,2,3,968.0,217.0,1069.0,326.0
57,2,3,967.0,218.0,1068.0,327.0
58,2,3,966.0,217.0,1067.0,326.0
59,2,3,965.0,216.0,1066.0,325.0
60,2,3,966.0,215.0,1067.0,324.0
61,2,3,963.0,216.0,1064.0,325.0
62,2,3,964.0,213.0,1065.0,322.0
63,2,3,963.0,214.0,1064.0,323.0
64,2,3,964.0,213.0,1065.0,322.0
65,2,3,963.0,212.0,1064.0,321.0
66,2,3,964.0,211.0,1065.0,320.0
67,2,3,963.0,210.0,1064.0,319.0
68,2,3,964.0,207.0,1065.0,316.0
69,2,3,963.0,206.0,1064.0,315.0
70,2,3,966.0,205.0,1067.0,314.0
71,2,3,965.0,204.0,1066.0,313.0
72,2,3,968.0,201.0,1069.0,310.0
73,2,3,967.0,200.0,1068.0,309.0
74,2,3,970.0,197.0,1071.0,306.0
75,2,3,971.0,194.0,1072.0,303.0
76,2,3,972.0,193.0,1073.0,302.0
77,2,3,973.0,190.0,1074.0,299.0
78,2,3,976.0,187.0,1077.0,296.0
79,2,3,977.0,186.0,1078.0,295.0
80,2,3,978.0,185.0,1079.0,294.0
81,2,3,979.0,184.0,1080.0,293.0
82,2,3,980.0,181.0,1081.0,290.0
83,2,3,981.0,180.0,1082.0,289.0
84,2,3,982.0,177.0,1083.0,286.0
85,2,3,983.0,176.0,1084.0,285.0
86,2,3,984.0,175.0,1085.0,284.0
87,2,3,985.0,174.0,1086.0,283.0
88,2,3,986.0,173.0,1087.0,282.0
89,2,3,985.0,172.0,1086.0,281.0
90,2,3,986.0,171.0,1087.0,280.0
91,2,3,987.0,172.0,1088.0,281.0
92,2,3,988.0,169.0,1089.0,278.0
93,2,3,987.0,170.0,1088.0,279.0
94,2,3,990.0,169.0,1091.0,278.0
95,2,3,989.0,168.0,1090.0,277.0
96,2,3,990.0,167.0,1091.0,276.0
97,2,3,991.0,168.0,1092.0,277.0
98,2,3,992.0,167.0,1093.0,276.0
99,2,3,991.0,168.0,1092.0,277.0
100,2,3,992.0,167.0,1093.0,276.0
101,2,3,993.0,168.0,1094.0,277.0
102,2,3,994.0,167.0,1095.0,276.0
103,2,3,993.0,168.0,1094.0,277.0
104,2,3,994.0,167.0,1095.0,276.0
105,2,3,995.0,168.0,1096.0,277.0
106,2,3,996.0,167.0,1097.0,276.0
107,2,3,995.0,168.0,1096.0,277.0
108,2,3,996.0,167.0,1097.0,276.0
109,2,3,995.0,168.0,1096.0,277.0
110,2,3,996.0,167.0,1097.0,276.0
111,2,3,995.0,168.0,1096.0,277.0
112,2,3,996.0,167.0,1097.0,276.0
113,2,3,995.0,168.0,1096.0,277.0
114,2,3,996.0,167.0,1097.0,276.0
115,2,3,997.0,168.0,1098.0,277.0
116,2,3,998.0,167.0,1099.0,276.0
117,2,3,997.0,168.0,1098.0,277.0
118,2,3,998.0,167.0,1099.0,276.0
119,2,3,997.0,168.0,1098.0,277.0
120,2,3,998.0,167.0,1099.0,276.0
121,2,3,997.0,168.0,1098.0,277.0
122,2,3,998.0,167.0,1099.0,276.0
123,2,3,997.0,168.0,1098.0,277.0
124,2,3,998.0,167.0,1099.0,276.0
125,2,3,997.0,168.0,1098.0,277.0
126,2,3,998.0,167.0,1099.0,276.0
127,2,3,997.0,168.0,1098.0,277.0
128,2,3,998.0,167.0,1099.0,276.0
129,2,3,997.0,168.0,1098.0,277.0
130,2,3,998.0,169.0,1099.0,278.0
131,2,3,997.0,170.0,1098.0,279.0
132,2,3,998.0,169.0,1099.0,278.0
133,2,3,997.0,170.0,1098.0,279.0
134,2,3,998.0,169.0,1099.0,278.0
135,2,3,997.0,170.0,1098.0,279.0
136,2,3,998.0,169.0,1099.0,278.0
137,2,3,997.0,170.0,1098.0,279.0
138,2,3,998.0,169.0,1099.0,278.0
139,2,3,997.0,170.0,1098.0,279.0
140,2,3,998.0,169.0,1099.0,278.0
141,2,3,997.0,170.0,1098.0,279.0
142,2,3,998.0,169.0,1099.0,278.0
143,2,3,997.0,170.0,1098.0,279.0
144,2,3,998.0,169.0,1099.0,278.0
145,2,3,997.0,170.0,1098.0,279.0
146,2,3,998.0,171.0,1099.0,280.0
147,2,3,997.0,172.0,1098.0,281.0
148,2,3,998.0,171.0,1099.0,280.0
149,2,3,997.0,172.0,1098.0,281.0
150,2,3,998.0,171.0,1099.0,280.0
50,2,4,1086,125,1147,211
