StageName,InputFile,OutputFile
Face Cropping,/Users/bhuvaneshwaribhaskaran/PycharmProjects/videogaze/videoin/1.mp4,/Users/bhuvaneshwaribhaskaran/PycharmProjects/videogaze/crop/output/1.mp4_4_11.mp4

Frame no,Shot no,Face id,Crop_x_min,Crop_y_min,Crop_x_max,Crop_y_max
0,4,11,1043.0,83.0,1141.0,181.0
1,4,11,1043.0,83.0,1141.0,181.0
2,4,11,1044.0,84.0,1142.0,182.0
3,4,11,1045.0,84.0,1143.0,182.0
4,4,11,1046.0,84.0,1144.0,182.0
5,4,11,1046.0,84.0,1144.0,182.0
6,4,11,1047.0,84.0,1145.0,182.0
7,4,11,1048.0,84.0,1146.0,182.0
8,4,11,1049.0,84.0,1147.0,182.0
9,4,11,1049.0,84.0,1147.0,182.0
10,4,11,1050.0,84.0,1148.0,182.0
11,4,11,1051.0,84.0,1149.0,182.0
12,4,11,1051.0,84.0,1149.0,182.0
13,4,11,1052.0,84.0,1150.0,182.0
14,4,11,1053.0,84.0,1151.0,182.0
15,4,11,1053.0,84.0,1151.0,182.0
16,4,11,1054.0,84.0,1152.0,182.0
17,4,11,1055.0,84.0,1153.0,182.0
18,4,11,1055.0,84.0,1153.0,182.0
19,4,11,1056.0,84.0,1154.0,182.0
20,4,11,1056.0,84.0,1154.0,182.0
21,4,11,1057.0,84.0,1155.0,182.0
22,4,11,1057.0,83.0,1155.0,181.0
23,4,11,1058.0,83.0,1156.0,181.0
24,4,11,1058.0,83.0,1156.0,181.0
25,4,11,1059.0,82.0,1157.0,180.0
26,4,11,1060.0,82.0,1158.0,180.0
27,4,11,1061.0,81.0,1159.0,179.0
28,4,11,1063.0,81.0,1161.0,179.0
29,4,11,1064.0,81.0,1162.0,179.0
30,4,11,1066.0,80.0,1164.0,178.0
31,4,11,1067.0,80.0,1165.0,178.0
32,4,11,1068.0,80.0,1166.0,178.0
33,4,11,1069.0,80.0,1167.0,178.0
34,4,11,1070.0,79.0,1168.0,177.0
35,4,11,1071.0,79.0,1169.0,177.0
36,4,11,1071.0,78.0,1169.0,176.0
37,4,11,1072.0,78.0,1170.0,176.0
38,4,11,1072.0,78.0,1170.0,176.0
39,4,11,1074.0,77.0,1172.0,175.0
40,4,11,1075.0,77.0,1173.0,175.0
41,4,11,1077.0,76.0,1175.0,174.0
42,4,11,1079.0,75.0,1177.0,173.0
43,4,11,1080.0,75.0,1178.0,173.0
44,4,11,1082.0,74.0,1180.0,172.0
45,4,11,1083.0,73.0,1181.0,171.0
46,4,11,1085.0,72.0,1183.0,170.0
47,4,11,1086.0,72.0,1184.0,170.0
48,4,11,1087.0,71.0,1185.0,169.0
49,4,11,1088.0,70.0,1186.0,168.0
50,4,11,1089.0,70.0,1187.0,168.0
51,4,11,1090.0,69.0,1188.0,167.0
52,4,11,1091.0,69.0,1189.0,167.0
53,4,11,1091.0,69.0,1189.0,167.0
54,4,11,1092.0,69.0,1190.0,167.0
55,4,11,1092.0,69.0,1190.0,167.0
56,4,11,1092.0,69.0,1190.0,167.0
57,4,11,1093.0,69.0,1191.0,167.0
58,4,11,1093.0,69.0,1191.0,167.0
59,4,11,1093.0,69.0,1191.0,167.0
60,4,11,1093.0,69.0,1191.0,167.0
61,4,11,1094.0,69.0,1192.0,167.0
62,4,11,1094.0,68.0,1192.0,166.0
63,4,11,1095.0,68.0,1193.0,166.0
