StageName,InputFile,OutputFile
Face Cropping,/Users/bhuvaneshwaribhaskaran/PycharmProjects/videogaze/videoin/1.mp4,/Users/bhuvaneshwaribhaskaran/PycharmProjects/videogaze/crop/output/1.mp4_2_2.mp4

Frame no,Shot no,Face id,Crop_x_min,Crop_y_min,Crop_x_max,Crop_y_max
0,2,2,120.0,171.0,268.0,319.0
1,2,2,120.0,171.0,268.0,319.0
2,2,2,121.0,172.0,269.0,320.0
3,2,2,121.0,172.0,269.0,320.0
4,2,2,121.0,172.0,269.0,320.0
5,2,2,121.0,172.0,269.0,320.0
6,2,2,121.0,172.0,269.0,320.0
7,2,2,121.0,172.0,269.0,320.0
8,2,2,121.0,172.0,269.0,320.0
9,2,2,120.0,172.0,268.0,320.0
10,2,2,118.0,172.0,266.0,320.0
11,2,2,118.0,172.0,266.0,320.0
12,2,2,118.0,172.0,266.0,320.0
13,2,2,118.0,172.0,266.0,320.0
14,2,2,118.0,172.0,266.0,320.0
15,2,2,118.0,172.0,266.0,320.0
16,2,2,118.0,172.0,266.0,320.0
17,2,2,118.0,172.0,266.0,320.0
18,2,2,118.0,172.0,266.0,320.0
19,2,2,118.0,172.0,266.0,320.0
20,2,2,118.0,172.0,266.0,320.0
21,2,2,118.0,172.0,266.0,320.0
22,2,2,118.0,172.0,266.0,320.0
23,2,2,118.0,172.0,266.0,320.0
24,2,2,118.0,172.0,266.0,320.0
25,2,2,118.0,172.0,266.0,320.0
26,2,2,118.0,172.0,266.0,320.0
27,2,2,118.0,172.0,266.0,320.0
28,2,2,118.0,172.0,266.0,320.0
29,2,2,118.0,172.0,266.0,320.0
30,2,2,118.0,172.0,266.0,320.0
31,2,2,118.0,172.0,266.0,320.0
32,2,2,118.0,172.0,266.0,320.0
33,2,2,118.0,172.0,266.0,320.0
34,2,2,118.0,172.0,266.0,320.0
35,2,2,118.0,172.0,266.0,320.0
36,2,2,118.0,172.0,266.0,320.0
37,2,2,118.0,172.0,266.0,320.0
38,2,2,118.0,172.0,266.0,320.0
39,2,2,118.0,172.0,266.0,320.0
40,2,2,118.0,172.0,266.0,320.0
41,2,2,118.0,172.0,266.0,320.0
42,2,2,119.0,172.0,267.0,320.0
43,2,2,119.0,172.0,267.0,320.0
44,2,2,119.0,172.0,267.0,320.0
45,2,2,119.0,172.0,267.0,320.0
46,2,2,119.0,172.0,267.0,320.0
47,2,2,119.0,172.0,267.0,320.0
48,2,2,119.0,172.0,267.0,320.0
49,2,2,119.0,172.0,267.0,320.0
50,2,2,119.0,172.0,267.0,320.0
51,2,2,119.0,172.0,267.0,320.0
52,2,2,119.0,172.0,267.0,320.0
53,2,2,119.0,172.0,267.0,320.0
54,2,2,119.0,172.0,267.0,320.0
55,2,2,119.0,172.0,267.0,320.0
56,2,2,119.0,172.0,267.0,320.0
57,2,2,119.0,172.0,267.0,320.0
58,2,2,119.0,172.0,267.0,320.0
59,2,2,119.0,172.0,267.0,320.0
60,2,2,119.0,172.0,267.0,320.0
61,2,2,119.0,172.0,267.0,320.0
62,2,2,119.0,172.0,267.0,320.0
63,2,2,119.0,172.0,267.0,320.0
64,2,2,119.0,172.0,267.0,320.0
65,2,2,119.0,172.0,267.0,320.0
66,2,2,119.0,172.0,267.0,320.0
67,2,2,119.0,172.0,267.0,320.0
68,2,2,119.0,172.0,267.0,320.0
69,2,2,119.0,172.0,267.0,320.0
70,2,2,120.0,172.0,268.0,320.0
71,2,2,122.0,172.0,270.0,320.0
72,2,2,122.0,172.0,270.0,320.0
73,2,2,123.0,172.0,271.0,320.0
74,2,2,126.0,172.0,274.0,320.0
75,2,2,127.0,172.0,275.0,320.0
76,2,2,127.0,172.0,275.0,320.0
77,2,2,128.0,172.0,276.0,320.0
78,2,2,130.0,172.0,278.0,320.0
79,2,2,131.0,172.0,279.0,320.0
80,2,2,132.0,171.0,280.0,319.0
81,2,2,134.0,170.0,282.0,318.0
82,2,2,135.0,170.0,283.0,318.0
83,2,2,136.0,170.0,284.0,318.0
84,2,2,138.0,170.0,286.0,318.0
85,2,2,139.0,170.0,287.0,318.0
86,2,2,139.0,170.0,287.0,318.0
87,2,2,140.0,171.0,288.0,319.0
88,2,2,142.0,172.0,290.0,320.0
89,2,2,143.0,172.0,291.0,320.0
90,2,2,143.0,173.0,291.0,321.0
91,2,2,144.0,174.0,292.0,322.0
92,2,2,146.0,175.0,294.0,323.0
93,2,2,147.0,176.0,295.0,324.0
94,2,2,147.0,177.0,295.0,325.0
95,2,2,147.0,178.0,295.0,326.0
96,2,2,148.0,179.0,296.0,327.0
97,2,2,150.0,180.0,298.0,328.0
98,2,2,150.0,180.0,298.0,328.0
99,2,2,149.0,181.0,297.0,329.0
100,2,2,149.0,182.0,297.0,330.0
