StageName,InputFile,OutputFile
Face Cropping,/Users/bhuvaneshwaribhaskaran/PycharmProjects/videogaze/videoin/1.mp4,/Users/bhuvaneshwaribhaskaran/PycharmProjects/videogaze/crop/output/1.mp4_2_5.mp4

Frame no,Shot no,Face id,Crop_x_min,Crop_y_min,Crop_x_max,Crop_y_max
0,2,5,129.5,97.5,226.5,194.5
1,2,5,129.5,97.5,226.5,194.5
2,2,5,130.5,97.5,227.5,194.5
3,2,5,129.5,97.5,226.5,194.5
4,2,5,129.5,97.5,226.5,194.5
5,2,5,129.5,97.5,226.5,194.5
6,2,5,128.5,97.5,225.5,194.5
7,2,5,128.5,97.5,225.5,194.5
8,2,5,128.5,97.5,225.5,194.5
9,2,5,128.5,96.5,225.5,193.5
10,2,5,127.5,96.5,224.5,193.5
11,2,5,127.5,96.5,224.5,193.5
12,2,5,127.5,96.5,224.5,193.5
13,2,5,127.5,96.5,224.5,193.5
14,2,5,127.5,96.5,224.5,193.5
15,2,5,127.5,96.5,224.5,193.5
16,2,5,127.5,96.5,224.5,193.5
17,2,5,127.5,96.5,224.5,193.5
18,2,5,126.5,96.5,223.5,193.5
19,2,5,126.5,96.5,223.5,193.5
20,2,5,126.5,96.5,223.5,193.5
21,2,5,126.5,96.5,223.5,193.5
22,2,5,126.5,96.5,223.5,193.5
23,2,5,126.5,96.5,223.5,193.5
24,2,5,126.5,96.5,223.5,193.5
25,2,5,126.5,96.5,223.5,193.5
26,2,5,126.5,96.5,223.5,193.5
27,2,5,126.5,96.5,223.5,193.5
28,2,5,126.5,96.5,223.5,193.5
29,2,5,126.5,96.5,223.5,193.5
30,2,5,126.5,96.5,223.5,193.5
31,2,5,126.5,96.5,223.5,193.5
32,2,5,126.5,96.5,223.5,193.5
33,2,5,126.5,96.5,223.5,193.5
34,2,5,126.5,96.5,223.5,193.5
35,2,5,126.5,96.5,223.5,193.5
36,2,5,126.5,96.5,223.5,193.5
37,2,5,126.5,96.5,223.5,193.5
38,2,5,126.5,96.5,223.5,193.5
39,2,5,126.5,96.5,223.5,193.5
40,2,5,126.5,96.5,223.5,193.5
41,2,5,126.5,96.5,223.5,193.5
42,2,5,126.5,96.5,223.5,193.5
43,2,5,127.5,96.5,224.5,193.5
44,2,5,127.5,96.5,224.5,193.5
45,2,5,127.5,96.5,224.5,193.5
46,2,5,127.5,96.5,224.5,193.5
47,2,5,127.5,96.5,224.5,193.5
48,2,5,127.5,96.5,224.5,193.5
49,2,5,127.5,96.5,224.5,193.5
50,2,5,127.5,96.5,224.5,193.5
51,2,5,127.5,96.5,224.5,193.5
52,2,5,127.5,96.5,224.5,193.5
53,2,5,128.5,96.5,225.5,193.5
54,2,5,128.5,96.5,225.5,193.5
55,2,5,128.5,96.5,225.5,193.5
56,2,5,128.5,96.5,225.5,193.5
57,2,5,128.5,96.5,225.5,193.5
58,2,5,128.5,96.5,225.5,193.5
59,2,5,128.5,96.5,225.5,193.5
60,2,5,128.5,96.5,225.5,193.5
61,2,5,129.5,96.5,226.5,193.5
62,2,5,129.5,96.5,226.5,193.5
63,2,5,129.5,96.5,226.5,193.5
64,2,5,129.5,96.5,226.5,193.5
65,2,5,129.5,96.5,226.5,193.5
66,2,5,129.5,96.5,226.5,193.5
67,2,5,130.5,96.5,227.5,193.5
68,2,5,130.5,96.5,227.5,193.5
69,2,5,130.5,96.5,227.5,193.5
70,2,5,130.5,96.5,227.5,193.5
71,2,5,130.5,96.5,227.5,193.5
72,2,5,131.5,96.5,228.5,193.5
73,2,5,131.5,96.5,228.5,193.5
74,2,5,131.5,96.5,228.5,193.5
75,2,5,131.5,96.5,228.5,193.5
76,2,5,131.5,96.5,228.5,193.5
77,2,5,131.5,96.5,228.5,193.5
78,2,5,131.5,96.5,228.5,193.5
79,2,5,131.5,96.5,228.5,193.5
80,2,5,131.5,96.5,228.5,193.5
81,2,5,131.5,96.5,228.5,193.5
82,2,5,131.5,96.5,228.5,193.5
83,2,5,131.5,96.5,228.5,193.5
84,2,5,131.5,96.5,228.5,193.5
85,2,5,132.5,96.5,229.5,193.5
86,2,5,132.5,96.5,229.5,193.5
87,2,5,132.5,96.5,229.5,193.5
88,2,5,132.5,96.5,229.5,193.5
89,2,5,132.5,96.5,229.5,193.5
90,2,5,132.5,96.5,229.5,193.5
91,2,5,133.5,96.5,230.5,193.5
92,2,5,133.5,96.5,230.5,193.5
93,2,5,133.5,96.5,230.5,193.5
94,2,5,134.5,97.5,231.5,194.5
95,2,5,134.5,97.5,231.5,194.5
96,2,5,134.5,97.5,231.5,194.5
97,2,5,134.5,97.5,231.5,194.5
98,2,5,134.5,97.5,231.5,194.5
99,2,5,135.5,97.5,232.5,194.5
100,2,5,135.5,97.5,232.5,194.5
