StageName,InputFile,OutputFile
Face Cropping,/Users/bhuvaneshwaribhaskaran/PycharmProjects/videogaze/videoin/1.mp4,/Users/bhuvaneshwaribhaskaran/PycharmProjects/videogaze/crop/output/1.mp4_2_3.mp4

Frame no,Shot no,Face id,Crop_x_min,Crop_y_min,Crop_x_max,Crop_y_max
0,2,3,950.5,201.5,1091.5,342.5
1,2,3,950.5,201.5,1091.5,342.5
2,2,3,949.5,200.5,1090.5,341.5
3,2,3,948.5,200.5,1089.5,341.5
4,2,3,947.5,200.5,1088.5,341.5
5,2,3,946.5,200.5,1087.5,341.5
6,2,3,946.5,200.5,1087.5,341.5
7,2,3,946.5,200.5,1087.5,341.5
8,2,3,945.5,200.5,1086.5,341.5
9,2,3,944.5,199.5,1085.5,340.5
10,2,3,944.5,198.5,1085.5,339.5
11,2,3,943.5,198.5,1084.5,339.5
12,2,3,942.5,197.5,1083.5,338.5
13,2,3,942.5,196.5,1083.5,337.5
14,2,3,942.5,196.5,1083.5,337.5
15,2,3,942.5,195.5,1083.5,336.5
16,2,3,942.5,194.5,1083.5,335.5
17,2,3,942.5,193.5,1083.5,334.5
18,2,3,942.5,191.5,1083.5,332.5
19,2,3,942.5,189.5,1083.5,330.5
20,2,3,943.5,188.5,1084.5,329.5
21,2,3,944.5,187.5,1085.5,328.5
22,2,3,945.5,185.5,1086.5,326.5
23,2,3,946.5,183.5,1087.5,324.5
24,2,3,947.5,181.5,1088.5,322.5
25,2,3,949.5,178.5,1090.5,319.5
26,2,3,950.5,176.5,1091.5,317.5
27,2,3,951.5,174.5,1092.5,315.5
28,2,3,953.5,171.5,1094.5,312.5
29,2,3,955.5,169.5,1096.5,310.5
30,2,3,956.5,168.5,1097.5,309.5
31,2,3,957.5,167.5,1098.5,308.5
32,2,3,958.5,165.5,1099.5,306.5
33,2,3,959.5,163.5,1100.5,304.5
34,2,3,960.5,161.5,1101.5,302.5
35,2,3,961.5,159.5,1102.5,300.5
36,2,3,962.5,158.5,1103.5,299.5
37,2,3,963.5,157.5,1104.5,298.5
38,2,3,964.5,156.5,1105.5,297.5
39,2,3,964.5,155.5,1105.5,296.5
40,2,3,964.5,154.5,1105.5,295.5
41,2,3,965.5,154.5,1106.5,295.5
42,2,3,966.5,153.5,1107.5,294.5
43,2,3,966.5,152.5,1107.5,293.5
44,2,3,967.5,152.5,1108.5,293.5
45,2,3,968.5,151.5,1109.5,292.5
46,2,3,968.5,150.5,1109.5,291.5
47,2,3,969.5,150.5,1110.5,291.5
48,2,3,970.5,150.5,1111.5,291.5
49,2,3,970.5,150.5,1111.5,291.5
50,2,3,970.5,150.5,1111.5,291.5
51,2,3,971.5,150.5,1112.5,291.5
52,2,3,972.5,150.5,1113.5,291.5
53,2,3,972.5,150.5,1113.5,291.5
54,2,3,972.5,150.5,1113.5,291.5
55,2,3,973.5,150.5,1114.5,291.5
56,2,3,974.5,150.5,1115.5,291.5
57,2,3,974.5,150.5,1115.5,291.5
58,2,3,974.5,150.5,1115.5,291.5
59,2,3,974.5,150.5,1115.5,291.5
60,2,3,974.5,150.5,1115.5,291.5
61,2,3,974.5,150.5,1115.5,291.5
62,2,3,974.5,150.5,1115.5,291.5
63,2,3,974.5,150.5,1115.5,291.5
64,2,3,974.5,150.5,1115.5,291.5
65,2,3,975.5,150.5,1116.5,291.5
66,2,3,976.5,150.5,1117.5,291.5
67,2,3,976.5,150.5,1117.5,291.5
68,2,3,976.5,150.5,1117.5,291.5
69,2,3,976.5,150.5,1117.5,291.5
70,2,3,976.5,150.5,1117.5,291.5
71,2,3,976.5,150.5,1117.5,291.5
72,2,3,976.5,150.5,1117.5,291.5
73,2,3,976.5,150.5,1117.5,291.5
74,2,3,976.5,150.5,1117.5,291.5
75,2,3,976.5,150.5,1117.5,291.5
76,2,3,976.5,150.5,1117.5,291.5
77,2,3,976.5,150.5,1117.5,291.5
78,2,3,976.5,150.5,1117.5,291.5
79,2,3,976.5,150.5,1117.5,291.5
80,2,3,976.5,151.5,1117.5,292.5
81,2,3,976.5,152.5,1117.5,293.5
82,2,3,976.5,152.5,1117.5,293.5
83,2,3,976.5,152.5,1117.5,293.5
84,2,3,976.5,152.5,1117.5,293.5
85,2,3,976.5,152.5,1117.5,293.5
86,2,3,976.5,152.5,1117.5,293.5
87,2,3,976.5,152.5,1117.5,293.5
88,2,3,976.5,152.5,1117.5,293.5
89,2,3,976.5,152.5,1117.5,293.5
90,2,3,976.5,152.5,1117.5,293.5
91,2,3,976.5,152.5,1117.5,293.5
92,2,3,976.5,152.5,1117.5,293.5
93,2,3,976.5,152.5,1117.5,293.5
94,2,3,976.5,152.5,1117.5,293.5
95,2,3,976.5,152.5,1117.5,293.5
96,2,3,976.5,153.5,1117.5,294.5
97,2,3,976.5,154.5,1117.5,295.5
98,2,3,976.5,154.5,1117.5,295.5
99,2,3,976.5,154.5,1117.5,295.5
100,2,3,976.5,154.5,1117.5,295.5
