StageName,InputFile,OutputFile
Face Cropping,/Users/bhuvaneshwaribhaskaran/PycharmProjects/videogaze/videoin/1.mp4,/Users/bhuvaneshwaribhaskaran/PycharmProjects/videogaze/crop/output/1.mp4_6_19.mp4

Frame no,Shot no,Face id,Crop_x_min,Crop_y_min,Crop_x_max,Crop_y_max
0,6,19,320.5,86.5,413.5,179.5
1,6,19,320.5,86.5,413.5,179.5
2,6,19,320.5,87.5,413.5,180.5
3,6,19,320.5,87.5,413.5,180.5
4,6,19,319.5,87.5,412.5,180.5
5,6,19,318.5,87.5,411.5,180.5
6,6,19,317.5,87.5,410.5,180.5
7,6,19,316.5,87.5,409.5,180.5
8,6,19,315.5,87.5,408.5,180.5
9,6,19,314.5,87.5,407.5,180.5
10,6,19,313.5,87.5,406.5,180.5
11,6,19,312.5,87.5,405.5,180.5
12,6,19,311.5,87.5,404.5,180.5
13,6,19,309.5,87.5,402.5,180.5
14,6,19,308.5,87.5,401.5,180.5
15,6,19,306.5,87.5,399.5,180.5
16,6,19,305.5,87.5,398.5,180.5
17,6,19,303.5,87.5,396.5,180.5
18,6,19,302.5,87.5,395.5,180.5
19,6,19,300.5,87.5,393.5,180.5
20,6,19,299.5,87.5,392.5,180.5
21,6,19,299.5,86.5,392.5,179.5
22,6,19,298.5,86.5,391.5,179.5
23,6,19,298.5,86.5,391.5,179.5
24,6,19,298.5,86.5,391.5,179.5
25,6,19,298.5,85.5,391.5,178.5
26,6,19,299.5,85.5,392.5,178.5
27,6,19,300.5,85.5,393.5,178.5
28,6,19,301.5,85.5,394.5,178.5
29,6,19,303.5,84.5,396.5,177.5
30,6,19,304.5,84.5,397.5,177.5
31,6,19,305.5,84.5,398.5,177.5
32,6,19,307.5,84.5,400.5,177.5
33,6,19,308.5,83.5,401.5,176.5
34,6,19,309.5,83.5,402.5,176.5
35,6,19,310.5,83.5,403.5,176.5
36,6,19,311.5,83.5,404.5,176.5
37,6,19,312.5,83.5,405.5,176.5
38,6,19,312.5,83.5,405.5,176.5
39,6,19,312.5,83.5,405.5,176.5
40,6,19,312.5,83.5,405.5,176.5
41,6,19,311.5,82.5,404.5,175.5
42,6,19,311.5,82.5,404.5,175.5
43,6,19,310.5,82.5,403.5,175.5
44,6,19,309.5,82.5,402.5,175.5
45,6,19,308.5,82.5,401.5,175.5
46,6,19,306.5,81.5,399.5,174.5
47,6,19,305.5,81.5,398.5,174.5
48,6,19,303.5,81.5,396.5,174.5
49,6,19,302.5,80.5,395.5,173.5
50,6,19,300.5,80.5,393.5,173.5
51,6,19,298.5,80.5,391.5,173.5
52,6,19,296.5,80.5,389.5,173.5
53,6,19,295.5,79.5,388.5,172.5
54,6,19,293.5,79.5,386.5,172.5
55,6,19,291.5,79.5,384.5,172.5
56,6,19,289.5,79.5,382.5,172.5
57,6,19,288.5,79.5,381.5,172.5
58,6,19,286.5,78.5,379.5,171.5
59,6,19,285.5,78.5,378.5,171.5
60,6,19,284.5,78.5,377.5,171.5
61,6,19,282.5,78.5,375.5,171.5
62,6,19,281.5,78.5,374.5,171.5
63,6,19,279.5,77.5,372.5,170.5
64,6,19,278.5,77.5,371.5,170.5
65,6,19,277.5,77.5,370.5,170.5
66,6,19,275.5,77.5,368.5,170.5
67,6,19,274.5,77.5,367.5,170.5
68,6,19,273.5,77.5,366.5,170.5
69,6,19,271.5,76.5,364.5,169.5
70,6,19,270.5,76.5,363.5,169.5
71,6,19,269.5,76.5,362.5,169.5
72,6,19,267.5,76.5,360.5,169.5
73,6,19,266.5,76.5,359.5,169.5
74,6,19,265.5,76.5,358.5,169.5
75,6,19,264.5,76.5,357.5,169.5
76,6,19,262.5,75.5,355.5,168.5
77,6,19,261.5,75.5,354.5,168.5
78,6,19,260.5,75.5,353.5,168.5
79,6,19,259.5,75.5,352.5,168.5
80,6,19,258.5,75.5,351.5,168.5
81,6,19,257.5,75.5,350.5,168.5
82,6,19,256.5,75.5,349.5,168.5
83,6,19,255.5,74.5,348.5,167.5
84,6,19,254.5,74.5,347.5,167.5
85,6,19,253.5,74.5,346.5,167.5
86,6,19,253.5,74.5,346.5,167.5
87,6,19,252.5,74.5,345.5,167.5
88,6,19,252.5,74.5,345.5,167.5
89,6,19,251.5,73.5,344.5,166.5
90,6,19,251.5,73.5,344.5,166.5
91,6,19,250.5,73.5,343.5,166.5
92,6,19,250.5,73.5,343.5,166.5
93,6,19,250.5,73.5,343.5,166.5
94,6,19,249.5,72.5,342.5,165.5
95,6,19,249.5,72.5,342.5,165.5
96,6,19,248.5,72.5,341.5,165.5
97,6,19,248.5,72.5,341.5,165.5
98,6,19,247.5,71.5,340.5,164.5
99,6,19,247.5,71.5,340.5,164.5
100,6,19,246.5,71.5,339.5,164.5
101,6,19,245.5,70.5,338.5,163.5
102,6,19,244.5,70.5,337.5,163.5
103,6,19,243.5,70.5,336.5,163.5
104,6,19,242.5,70.5,335.5,163.5
105,6,19,241.5,70.5,334.5,163.5
106,6,19,240.5,69.5,333.5,162.5
107,6,19,239.5,69.5,332.5,162.5
108,6,19,238.5,69.5,331.5,162.5
109,6,19,237.5,68.5,330.5,161.5
110,6,19,236.5,68.5,329.5,161.5
111,6,19,236.5,68.5,329.5,161.5
112,6,19,235.5,67.5,328.5,160.5
113,6,19,235.5,67.5,328.5,160.5
114,6,19,234.5,67.5,327.5,160.5
115,6,19,234.5,67.5,327.5,160.5
116,6,19,234.5,67.5,327.5,160.5
117,6,19,233.5,67.5,326.5,160.5
118,6,19,233.5,66.5,326.5,159.5
119,6,19,233.5,66.5,326.5,159.5
120,6,19,233.5,66.5,326.5,159.5
121,6,19,233.5,65.5,326.5,158.5
122,6,19,233.5,65.5,326.5,158.5
123,6,19,233.5,65.5,326.5,158.5
124,6,19,233.5,64.5,326.5,157.5
125,6,19,233.5,64.5,326.5,157.5
126,6,19,232.5,64.5,325.5,157.5
127,6,19,232.5,63.5,325.5,156.5
128,6,19,232.5,63.5,325.5,156.5
129,6,19,231.5,63.5,324.5,156.5
130,6,19,230.5,62.5,323.5,155.5
131,6,19,230.5,62.5,323.5,155.5
132,6,19,229.5,62.5,322.5,155.5
133,6,19,229.5,61.5,322.5,154.5
134,6,19,228.5,61.5,321.5,154.5
135,6,19,228.5,61.5,321.5,154.5
136,6,19,228.5,60.5,321.5,153.5
137,6,19,228.5,60.5,321.5,153.5
138,6,19,227.5,60.5,320.5,153.5
139,6,19,227.5,60.5,320.5,153.5
140,6,19,227.5,59.5,320.5,152.5
141,6,19,227.5,59.5,320.5,152.5
142,6,19,227.5,59.5,320.5,152.5
143,6,19,226.5,58.5,319.5,151.5
144,6,19,226.5,58.5,319.5,151.5
145,6,19,226.5,58.5,319.5,151.5
146,6,19,226.5,57.5,319.5,150.5
147,6,19,225.5,57.5,318.5,150.5
148,6,19,225.5,57.5,318.5,150.5
149,6,19,224.5,56.5,317.5,149.5
150,6,19,224.5,56.5,317.5,149.5
151,6,19,223.5,56.5,316.5,149.5
152,6,19,223.5,56.5,316.5,149.5
153,6,19,222.5,55.5,315.5,148.5
154,6,19,221.5,55.5,314.5,148.5
155,6,19,221.5,55.5,314.5,148.5
156,6,19,220.5,54.5,313.5,147.5
157,6,19,220.5,54.5,313.5,147.5
158,6,19,219.5,54.5,312.5,147.5
159,6,19,219.5,54.5,312.5,147.5
160,6,19,219.5,53.5,312.5,146.5
161,6,19,219.5,53.5,312.5,146.5
162,6,19,219.5,53.5,312.5,146.5
163,6,19,219.5,52.5,312.5,145.5
164,6,19,219.5,52.5,312.5,145.5
165,6,19,219.5,52.5,312.5,145.5
166,6,19,219.5,51.5,312.5,144.5
167,6,19,220.5,51.5,313.5,144.5
168,6,19,220.5,51.5,313.5,144.5
169,6,19,221.5,50.5,314.5,143.5
170,6,19,222.5,50.5,315.5,143.5
