StageName,InputFile,OutputFile
Face Cropping,/Users/bhuvaneshwaribhaskaran/PycharmProjects/videogaze/videoin/1.mp4,/Users/bhuvaneshwaribhaskaran/PycharmProjects/videogaze/crop/output/1.mp4_4_9.mp4

Frame no,Shot no,Face id,Crop_x_min,Crop_y_min,Crop_x_max,Crop_y_max
0,4,9,942.0,130.0,1094.0,282.0
1,4,9,942.0,130.0,1094.0,282.0
2,4,9,943.0,130.0,1095.0,282.0
3,4,9,944.0,130.0,1096.0,282.0
4,4,9,944.0,129.0,1096.0,281.0
5,4,9,944.0,129.0,1096.0,281.0
6,4,9,945.0,129.0,1097.0,281.0
7,4,9,945.0,129.0,1097.0,281.0
8,4,9,945.0,129.0,1097.0,281.0
9,4,9,945.0,129.0,1097.0,281.0
10,4,9,946.0,129.0,1098.0,281.0
11,4,9,948.0,129.0,1100.0,281.0
12,4,9,948.0,129.0,1100.0,281.0
13,4,9,948.0,129.0,1100.0,281.0
14,4,9,949.0,129.0,1101.0,281.0
15,4,9,949.0,129.0,1101.0,281.0
16,4,9,949.0,129.0,1101.0,281.0
17,4,9,949.0,129.0,1101.0,281.0
18,4,9,950.0,129.0,1102.0,281.0
19,4,9,952.0,129.0,1104.0,281.0
20,4,9,952.0,129.0,1104.0,281.0
21,4,9,952.0,129.0,1104.0,281.0
22,4,9,952.0,129.0,1104.0,281.0
23,4,9,952.0,129.0,1104.0,281.0
24,4,9,952.0,129.0,1104.0,281.0
25,4,9,952.0,129.0,1104.0,281.0
26,4,9,952.0,129.0,1104.0,281.0
27,4,9,951.0,128.0,1103.0,280.0
28,4,9,950.0,127.0,1102.0,279.0
29,4,9,947.0,127.0,1099.0,279.0
30,4,9,945.0,127.0,1097.0,279.0
31,4,9,945.0,127.0,1097.0,279.0
32,4,9,945.0,127.0,1097.0,279.0
33,4,9,945.0,127.0,1097.0,279.0
34,4,9,945.0,127.0,1097.0,279.0
35,4,9,945.0,127.0,1097.0,279.0
36,4,9,945.0,127.0,1097.0,279.0
37,4,9,945.0,127.0,1097.0,279.0
38,4,9,945.0,127.0,1097.0,279.0
39,4,9,945.0,127.0,1097.0,279.0
40,4,9,945.0,127.0,1097.0,279.0
41,4,9,945.0,127.0,1097.0,279.0
42,4,9,945.0,127.0,1097.0,279.0
43,4,9,946.0,127.0,1098.0,279.0
44,4,9,948.0,127.0,1100.0,279.0
45,4,9,948.0,127.0,1100.0,279.0
46,4,9,948.0,127.0,1100.0,279.0
47,4,9,949.0,127.0,1101.0,279.0
48,4,9,949.0,127.0,1101.0,279.0
49,4,9,949.0,127.0,1101.0,279.0
50,4,9,950.0,127.0,1102.0,279.0
51,4,9,952.0,127.0,1104.0,279.0
52,4,9,952.0,127.0,1104.0,279.0
53,4,9,952.0,127.0,1104.0,279.0
54,4,9,953.0,127.0,1105.0,279.0
55,4,9,953.0,127.0,1105.0,279.0
56,4,9,953.0,127.0,1105.0,279.0
57,4,9,954.0,127.0,1106.0,279.0
58,4,9,956.0,127.0,1108.0,279.0
59,4,9,956.0,127.0,1108.0,279.0
60,4,9,956.0,127.0,1108.0,279.0
61,4,9,957.0,127.0,1109.0,279.0
62,4,9,957.0,127.0,1109.0,279.0
63,4,9,957.0,127.0,1109.0,279.0
