StageName,InputFile,OutputFile
Face Cropping,/Users/bhuvaneshwaribhaskaran/PycharmProjects/videogaze/videoin/1.mp4,/Users/bhuvaneshwaribhaskaran/PycharmProjects/videogaze/crop/output/1.mp4_2_7.mp4

Frame no,Shot no,Face id,Crop_x_min,Crop_y_min,Crop_x_max,Crop_y_max
0,2,7,57.5,91.5,142.5,176.5
1,2,7,57.5,91.5,142.5,176.5
2,2,7,58.5,92.5,143.5,177.5
3,2,7,57.5,92.5,142.5,177.5
4,2,7,57.5,92.5,142.5,177.5
5,2,7,56.5,92.5,141.5,177.5
6,2,7,56.5,92.5,141.5,177.5
7,2,7,56.5,92.5,141.5,177.5
8,2,7,55.5,92.5,140.5,177.5
9,2,7,55.5,92.5,140.5,177.5
10,2,7,55.5,91.5,140.5,176.5
11,2,7,55.5,91.5,140.5,176.5
12,2,7,55.5,91.5,140.5,176.5
13,2,7,54.5,91.5,139.5,176.5
14,2,7,54.5,91.5,139.5,176.5
15,2,7,54.5,91.5,139.5,176.5
16,2,7,54.5,91.5,139.5,176.5
17,2,7,54.5,91.5,139.5,176.5
18,2,7,54.5,91.5,139.5,176.5
19,2,7,54.5,91.5,139.5,176.5
20,2,7,54.5,91.5,139.5,176.5
21,2,7,54.5,91.5,139.5,176.5
22,2,7,54.5,91.5,139.5,176.5
23,2,7,54.5,91.5,139.5,176.5
24,2,7,54.5,91.5,139.5,176.5
25,2,7,53.5,91.5,138.5,176.5
26,2,7,53.5,91.5,138.5,176.5
27,2,7,53.5,91.5,138.5,176.5
28,2,7,53.5,91.5,138.5,176.5
29,2,7,53.5,90.5,138.5,175.5
30,2,7,53.5,90.5,138.5,175.5
31,2,7,53.5,90.5,138.5,175.5
32,2,7,53.5,90.5,138.5,175.5
33,2,7,53.5,90.5,138.5,175.5
34,2,7,53.5,90.5,138.5,175.5
35,2,7,53.5,90.5,138.5,175.5
36,2,7,53.5,90.5,138.5,175.5
37,2,7,53.5,90.5,138.5,175.5
38,2,7,53.5,90.5,138.5,175.5
39,2,7,53.5,90.5,138.5,175.5
40,2,7,53.5,90.5,138.5,175.5
41,2,7,53.5,90.5,138.5,175.5
42,2,7,53.5,90.5,138.5,175.5
43,2,7,53.5,90.5,138.5,175.5
44,2,7,53.5,90.5,138.5,175.5
45,2,7,53.5,90.5,138.5,175.5
46,2,7,53.5,90.5,138.5,175.5
47,2,7,53.5,90.5,138.5,175.5
48,2,7,53.5,90.5,138.5,175.5
49,2,7,53.5,90.5,138.5,175.5
50,2,7,53.5,90.5,138.5,175.5
51,2,7,54.5,90.5,139.5,175.5
52,2,7,54.5,90.5,139.5,175.5
53,2,7,54.5,90.5,139.5,175.5
54,2,7,54.5,90.5,139.5,175.5
55,2,7,54.5,90.5,139.5,175.5
56,2,7,54.5,90.5,139.5,175.5
57,2,7,54.5,90.5,139.5,175.5
58,2,7,54.5,90.5,139.5,175.5
59,2,7,55.5,90.5,140.5,175.5
60,2,7,55.5,90.5,140.5,175.5
61,2,7,55.5,90.5,140.5,175.5
62,2,7,55.5,90.5,140.5,175.5
63,2,7,55.5,90.5,140.5,175.5
64,2,7,55.5,90.5,140.5,175.5
65,2,7,55.5,90.5,140.5,175.5
66,2,7,55.5,90.5,140.5,175.5
67,2,7,56.5,90.5,141.5,175.5
68,2,7,56.5,90.5,141.5,175.5
69,2,7,56.5,90.5,141.5,175.5
70,2,7,56.5,90.5,141.5,175.5
71,2,7,56.5,90.5,141.5,175.5
72,2,7,56.5,90.5,141.5,175.5
73,2,7,56.5,90.5,141.5,175.5
74,2,7,56.5,90.5,141.5,175.5
75,2,7,56.5,90.5,141.5,175.5
76,2,7,56.5,90.5,141.5,175.5
77,2,7,56.5,90.5,141.5,175.5
78,2,7,57.5,90.5,142.5,175.5
79,2,7,57.5,90.5,142.5,175.5
80,2,7,57.5,90.5,142.5,175.5
81,2,7,57.5,90.5,142.5,175.5
82,2,7,57.5,90.5,142.5,175.5
83,2,7,57.5,90.5,142.5,175.5
84,2,7,57.5,90.5,142.5,175.5
85,2,7,57.5,90.5,142.5,175.5
86,2,7,57.5,90.5,142.5,175.5
87,2,7,58.5,90.5,143.5,175.5
88,2,7,58.5,90.5,143.5,175.5
89,2,7,58.5,90.5,143.5,175.5
90,2,7,58.5,90.5,143.5,175.5
91,2,7,58.5,91.5,143.5,176.5
92,2,7,58.5,91.5,143.5,176.5
93,2,7,58.5,91.5,143.5,176.5
94,2,7,58.5,91.5,143.5,176.5
95,2,7,59.5,91.5,144.5,176.5
96,2,7,59.5,91.5,144.5,176.5
97,2,7,59.5,91.5,144.5,176.5
98,2,7,59.5,91.5,144.5,176.5
99,2,7,59.5,91.5,144.5,176.5
100,2,7,59.5,91.5,144.5,176.5
