StageName,InputFile,OutputFile
Face Cropping,/Users/bhuvaneshwaribhaskaran/PycharmProjects/videogaze/videoin/1.mp4,/Users/bhuvaneshwaribhaskaran/PycharmProjects/videogaze/crop/output/1.mp4_5_17.mp4

Frame no,Shot no,Face id,Crop_x_min,Crop_y_min,Crop_x_max,Crop_y_max
0,5,17,0,192.5,134.5,349.5
1,5,17,0,192.5,134.5,349.5
2,5,17,0,191.5,136.5,348.5
3,5,17,0,190.5,138.5,347.5
4,5,17,0,190.5,139.5,347.5
5,5,17,0,190.5,140.5,347.5
6,5,17,0,190.5,142.5,347.5
7,5,17,0,190.5,143.5,347.5
8,5,17,0,189.5,143.5,346.5
9,5,17,0,188.5,143.5,345.5
10,5,17,0,188.5,144.5,345.5
11,5,17,0,188.5,146.5,345.5
12,5,17,0,188.5,147.5,345.5
13,5,17,0,188.5,147.5,345.5
14,5,17,0,188.5,148.5,345.5
15,5,17,0,188.5,150.5,345.5
16,5,17,0,187.5,151.5,344.5
17,5,17,0,186.5,151.5,343.5
18,5,17,0,186.5,151.5,343.5
19,5,17,0,186.5,152.5,343.5
20,5,17,0,186.5,154.5,343.5
21,5,17,0,186.5,155.5,343.5
22,5,17,0,186.5,155.5,343.5
23,5,17,0,186.5,155.5,343.5
24,5,17,0,186.5,156.5,343.5
25,5,17,1.5,186.5,158.5,343.5
26,5,17,2.5,186.5,159.5,343.5
27,5,17,2.5,186.5,159.5,343.5
28,5,17,3.5,186.5,160.5,343.5
29,5,17,5.5,186.5,162.5,343.5
30,5,17,6.5,186.5,163.5,343.5
31,5,17,7.5,186.5,164.5,343.5
32,5,17,9.5,186.5,166.5,343.5
33,5,17,10.5,186.5,167.5,343.5
34,5,17,11.5,186.5,168.5,343.5
35,5,17,13.5,186.5,170.5,343.5
36,5,17,14.5,185.5,171.5,342.5
37,5,17,14.5,184.5,171.5,341.5
