StageName,InputFile,OutputFile
Face Cropping,/Users/bhuvaneshwaribhaskaran/PycharmProjects/videogaze/videoin/1.mp4,/Users/bhuvaneshwaribhaskaran/PycharmProjects/videogaze/crop/output/1.mp4_5_16.mp4

Frame no,Shot no,Face id,Crop_x_min,Crop_y_min,Crop_x_max,Crop_y_max
0,5,16,846.5,383.5,1029.5,566.5
1,5,16,846.5,383.5,1029.5,566.5
2,5,16,846.5,382.5,1029.5,565.5
3,5,16,847.5,381.5,1030.5,564.5
4,5,16,847.5,381.5,1030.5,564.5
5,5,16,848.5,381.5,1031.5,564.5
6,5,16,849.5,380.5,1032.5,563.5
7,5,16,849.5,379.5,1032.5,562.5
8,5,16,850.5,379.5,1033.5,562.5
9,5,16,851.5,379.5,1034.5,562.5
10,5,16,852.5,379.5,1035.5,562.5
11,5,16,854.5,379.5,1037.5,562.5
12,5,16,855.5,378.5,1038.5,561.5
13,5,16,856.5,377.5,1039.5,560.5
14,5,16,857.5,377.5,1040.5,560.5
15,5,16,857.5,377.5,1040.5,560.5
16,5,16,858.5,376.5,1041.5,559.5
17,5,16,859.5,375.5,1042.5,558.5
18,5,16,860.5,375.5,1043.5,558.5
19,5,16,861.5,374.5,1044.5,557.5
20,5,16,862.5,373.5,1045.5,556.5
21,5,16,864.5,373.5,1047.5,556.5
22,5,16,865.5,373.5,1048.5,556.5
23,5,16,866.5,373.5,1049.5,556.5
24,5,16,867.5,372.5,1050.5,555.5
25,5,16,868.5,371.5,1051.5,554.5
26,5,16,870.5,371.5,1053.5,554.5
27,5,16,871.5,371.5,1054.5,554.5
28,5,16,872.5,371.5,1055.5,554.5
29,5,16,873.5,371.5,1056.5,554.5
30,5,16,874.5,371.5,1057.5,554.5
31,5,16,876.5,371.5,1059.5,554.5
32,5,16,877.5,371.5,1060.5,554.5
33,5,16,878.5,371.5,1061.5,554.5
34,5,16,879.5,371.5,1062.5,554.5
35,5,16,880.5,371.5,1063.5,554.5
36,5,16,882.5,370.5,1065.5,553.5
37,5,16,883.5,369.5,1066.5,552.5
38,5,16,884.5,369.5,1067.5,552.5
39,5,16,886.5,369.5,1069.5,552.5
40,5,16,887.5,369.5,1070.5,552.5
41,5,16,888.5,369.5,1071.5,552.5
42,5,16,890.5,368.5,1073.5,551.5
43,5,16,892.5,367.5,1075.5,550.5
44,5,16,895.5,367.5,1078.5,550.5
45,5,16,899.5,367.5,1082.5,550.5
46,5,16,902.5,366.5,1085.5,549.5
47,5,16,904.5,365.5,1087.5,548.5
48,5,16,907.5,364.5,1090.5,547.5
49,5,16,910.5,363.5,1093.5,546.5
50,5,16,912.5,362.5,1095.5,545.5
51,5,16,914.5,361.5,1097.5,544.5
52,5,16,917.5,361.5,1100.5,544.5
53,5,16,920.5,361.5,1103.5,544.5
54,5,16,922.5,361.5,1105.5,544.5
55,5,16,924.5,361.5,1107.5,544.5
56,5,16,926.5,361.5,1109.5,544.5
57,5,16,928.5,361.5,1111.5,544.5
58,5,16,930.5,360.5,1113.5,543.5
59,5,16,932.5,359.5,1115.5,542.5
60,5,16,934.5,359.5,1117.5,542.5
61,5,16,935.5,359.5,1118.5,542.5
62,5,16,936.5,359.5,1119.5,542.5
