StageName,InputFile,OutputFile
Face Cropping,/Users/bhuvaneshwaribhaskaran/PycharmProjects/videogaze/videoin/1.mp4,/Users/bhuvaneshwaribhaskaran/PycharmProjects/videogaze/crop/output/1.mp4_6_20.mp4

Frame no,Shot no,Face id,Crop_x_min,Crop_y_min,Crop_x_max,Crop_y_max
0,6,20,1033.0,88.0,1129.0,184.0
1,6,20,1033.0,88.0,1129.0,184.0
2,6,20,1033.0,89.0,1129.0,185.0
3,6,20,1033.0,89.0,1129.0,185.0
4,6,20,1032.0,89.0,1128.0,185.0
5,6,20,1031.0,89.0,1127.0,185.0
6,6,20,1030.0,89.0,1126.0,185.0
7,6,20,1029.0,89.0,1125.0,185.0
8,6,20,1028.0,89.0,1124.0,185.0
9,6,20,1027.0,89.0,1123.0,185.0
10,6,20,1025.0,89.0,1121.0,185.0
11,6,20,1024.0,89.0,1120.0,185.0
12,6,20,1023.0,89.0,1119.0,185.0
13,6,20,1021.0,89.0,1117.0,185.0
14,6,20,1019.0,89.0,1115.0,185.0
15,6,20,1018.0,89.0,1114.0,185.0
16,6,20,1016.0,89.0,1112.0,185.0
17,6,20,1015.0,89.0,1111.0,185.0
18,6,20,1013.0,89.0,1109.0,185.0
19,6,20,1012.0,89.0,1108.0,185.0
20,6,20,1011.0,89.0,1107.0,185.0
21,6,20,1011.0,89.0,1107.0,185.0
22,6,20,1011.0,89.0,1107.0,185.0
23,6,20,1011.0,88.0,1107.0,184.0
24,6,20,1011.0,88.0,1107.0,184.0
25,6,20,1012.0,88.0,1108.0,184.0
26,6,20,1013.0,88.0,1109.0,184.0
27,6,20,1014.0,88.0,1110.0,184.0
28,6,20,1016.0,88.0,1112.0,184.0
29,6,20,1018.0,88.0,1114.0,184.0
30,6,20,1020.0,88.0,1116.0,184.0
31,6,20,1022.0,87.0,1118.0,183.0
32,6,20,1023.0,87.0,1119.0,183.0
33,6,20,1025.0,87.0,1121.0,183.0
34,6,20,1026.0,87.0,1122.0,183.0
35,6,20,1027.0,87.0,1123.0,183.0
36,6,20,1028.0,87.0,1124.0,183.0
37,6,20,1029.0,87.0,1125.0,183.0
38,6,20,1030.0,87.0,1126.0,183.0
39,6,20,1030.0,87.0,1126.0,183.0
40,6,20,1030.0,87.0,1126.0,183.0
41,6,20,1030.0,87.0,1126.0,183.0
42,6,20,1029.0,87.0,1125.0,183.0
43,6,20,1028.0,87.0,1124.0,183.0
44,6,20,1027.0,87.0,1123.0,183.0
45,6,20,1026.0,87.0,1122.0,183.0
46,6,20,1025.0,87.0,1121.0,183.0
47,6,20,1024.0,86.0,1120.0,182.0
48,6,20,1023.0,86.0,1119.0,182.0
49,6,20,1021.0,86.0,1117.0,182.0
50,6,20,1020.0,86.0,1116.0,182.0
51,6,20,1018.0,86.0,1114.0,182.0
52,6,20,1017.0,86.0,1113.0,182.0
53,6,20,1015.0,86.0,1111.0,182.0
54,6,20,1014.0,85.0,1110.0,181.0
55,6,20,1013.0,85.0,1109.0,181.0
56,6,20,1011.0,85.0,1107.0,181.0
57,6,20,1010.0,85.0,1106.0,181.0
58,6,20,1009.0,85.0,1105.0,181.0
59,6,20,1008.0,85.0,1104.0,181.0
60,6,20,1007.0,85.0,1103.0,181.0
61,6,20,1006.0,85.0,1102.0,181.0
62,6,20,1005.0,85.0,1101.0,181.0
63,6,20,1004.0,84.0,1100.0,180.0
64,6,20,1003.0,84.0,1099.0,180.0
65,6,20,1002.0,84.0,1098.0,180.0
66,6,20,1002.0,84.0,1098.0,180.0
67,6,20,1001.0,84.0,1097.0,180.0
68,6,20,1000.0,84.0,1096.0,180.0
69,6,20,999.0,83.0,1095.0,179.0
70,6,20,998.0,83.0,1094.0,179.0
71,6,20,997.0,83.0,1093.0,179.0
72,6,20,997.0,83.0,1093.0,179.0
73,6,20,996.0,83.0,1092.0,179.0
74,6,20,995.0,83.0,1091.0,179.0
75,6,20,994.0,83.0,1090.0,179.0
76,6,20,993.0,82.0,1089.0,178.0
77,6,20,992.0,82.0,1088.0,178.0
78,6,20,991.0,82.0,1087.0,178.0
79,6,20,991.0,82.0,1087.0,178.0
80,6,20,990.0,82.0,1086.0,178.0
81,6,20,989.0,82.0,1085.0,178.0
82,6,20,989.0,82.0,1085.0,178.0
83,6,20,989.0,81.0,1085.0,177.0
84,6,20,988.0,81.0,1084.0,177.0
85,6,20,988.0,81.0,1084.0,177.0
86,6,20,988.0,81.0,1084.0,177.0
87,6,20,988.0,81.0,1084.0,177.0
88,6,20,988.0,81.0,1084.0,177.0
89,6,20,989.0,81.0,1085.0,177.0
90,6,20,989.0,80.0,1085.0,176.0
91,6,20,989.0,80.0,1085.0,176.0
92,6,20,990.0,80.0,1086.0,176.0
93,6,20,990.0,80.0,1086.0,176.0
94,6,20,991.0,80.0,1087.0,176.0
95,6,20,991.0,80.0,1087.0,176.0
96,6,20,992.0,80.0,1088.0,176.0
97,6,20,992.0,79.0,1088.0,175.0
98,6,20,992.0,79.0,1088.0,175.0
99,6,20,992.0,79.0,1088.0,175.0
100,6,20,992.0,79.0,1088.0,175.0
101,6,20,992.0,78.0,1088.0,174.0
102,6,20,992.0,78.0,1088.0,174.0
103,6,20,991.0,78.0,1087.0,174.0
104,6,20,991.0,78.0,1087.0,174.0
105,6,20,991.0,78.0,1087.0,174.0
106,6,20,990.0,77.0,1086.0,173.0
107,6,20,990.0,77.0,1086.0,173.0
108,6,20,990.0,77.0,1086.0,173.0
109,6,20,990.0,77.0,1086.0,173.0
