StageName,InputFile,OutputFile
Face Cropping,/Users/bhuvaneshwaribhaskaran/PycharmProjects/videogaze/videoin/1.mp4,/Users/bhuvaneshwaribhaskaran/PycharmProjects/videogaze/crop/output/1.mp4_1_1.mp4

Frame no,Shot no,Face id,Crop_x_min,Crop_y_min,Crop_x_max,Crop_y_max
0,1,1,747.5,136.5,840.5,229.5
1,1,1,747.5,136.5,840.5,229.5
2,1,1,747.5,137.5,840.5,230.5
3,1,1,748.5,137.5,841.5,230.5
4,1,1,749.5,137.5,842.5,230.5
5,1,1,749.5,138.5,842.5,231.5
6,1,1,749.5,138.5,842.5,231.5
7,1,1,751.5,138.5,844.5,231.5
8,1,1,752.5,137.5,845.5,230.5
9,1,1,752.5,137.5,845.5,230.5
10,1,1,752.5,137.5,845.5,230.5
11,1,1,753.5,137.5,846.5,230.5
12,1,1,754.5,137.5,847.5,230.5
13,1,1,754.5,137.5,847.5,230.5
14,1,1,754.5,137.5,847.5,230.5
15,1,1,755.5,137.5,848.5,230.5
16,1,1,756.5,137.5,849.5,230.5
17,1,1,756.5,137.5,849.5,230.5
18,1,1,756.5,137.5,849.5,230.5
19,1,1,756.5,137.5,849.5,230.5
20,1,1,757.5,136.5,850.5,229.5
21,1,1,757.5,136.5,850.5,229.5
22,1,1,757.5,136.5,850.5,229.5
23,1,1,757.5,135.5,850.5,228.5
24,1,1,757.5,135.5,850.5,228.5
25,1,1,757.5,135.5,850.5,228.5
26,1,1,757.5,135.5,850.5,228.5
27,1,1,757.5,135.5,850.5,228.5
28,1,1,757.5,135.5,850.5,228.5
29,1,1,758.5,135.5,851.5,228.5
30,1,1,758.5,135.5,851.5,228.5
31,1,1,758.5,135.5,851.5,228.5
32,1,1,758.5,135.5,851.5,228.5
33,1,1,758.5,135.5,851.5,228.5
34,1,1,758.5,135.5,851.5,228.5
35,1,1,758.5,135.5,851.5,228.5
36,1,1,758.5,135.5,851.5,228.5
37,1,1,758.5,135.5,851.5,228.5
38,1,1,758.5,136.5,851.5,229.5
39,1,1,758.5,136.5,851.5,229.5
40,1,1,758.5,136.5,851.5,229.5
41,1,1,758.5,136.5,851.5,229.5
42,1,1,758.5,136.5,851.5,229.5
43,1,1,759.5,136.5,852.5,229.5
44,1,1,759.5,136.5,852.5,229.5
45,1,1,759.5,136.5,852.5,229.5
46,1,1,759.5,136.5,852.5,229.5
47,1,1,760.5,136.5,853.5,229.5
48,1,1,761.5,136.5,854.5,229.5
