StageName,InputFile,OutputFile
Face Cropping,/Users/bhuvaneshwaribhaskaran/PycharmProjects/videogaze/videoin/1.mp4,/Users/bhuvaneshwaribhaskaran/PycharmProjects/videogaze/crop/output/1.mp4_4_12.mp4

Frame no,Shot no,Face id,Crop_x_min,Crop_y_min,Crop_x_max,Crop_y_max
0,4,12,134.0,80.0,230.0,176.0
1,4,12,134.0,80.0,230.0,176.0
2,4,12,134.0,81.0,230.0,177.0
3,4,12,135.0,81.0,231.0,177.0
4,4,12,136.0,81.0,232.0,177.0
5,4,12,136.0,81.0,232.0,177.0
6,4,12,137.0,81.0,233.0,177.0
7,4,12,138.0,81.0,234.0,177.0
8,4,12,138.0,80.0,234.0,176.0
9,4,12,139.0,80.0,235.0,176.0
10,4,12,140.0,80.0,236.0,176.0
11,4,12,140.0,80.0,236.0,176.0
12,4,12,140.0,80.0,236.0,176.0
13,4,12,142.0,80.0,238.0,176.0
14,4,12,143.0,80.0,239.0,176.0
15,4,12,143.0,80.0,239.0,176.0
16,4,12,144.0,79.0,240.0,175.0
17,4,12,144.0,79.0,240.0,175.0
18,4,12,144.0,79.0,240.0,175.0
19,4,12,145.0,79.0,241.0,175.0
20,4,12,146.0,79.0,242.0,175.0
21,4,12,146.0,79.0,242.0,175.0
22,4,12,147.0,79.0,243.0,175.0
23,4,12,148.0,79.0,244.0,175.0
24,4,12,148.0,79.0,244.0,175.0
25,4,12,150.0,78.0,246.0,174.0
26,4,12,151.0,78.0,247.0,174.0
27,4,12,152.0,78.0,248.0,174.0
28,4,12,152.0,78.0,248.0,174.0
29,4,12,152.0,78.0,248.0,174.0
30,4,12,153.0,78.0,249.0,174.0
31,4,12,154.0,78.0,250.0,174.0
32,4,12,154.0,78.0,250.0,174.0
33,4,12,156.0,78.0,252.0,174.0
34,4,12,157.0,78.0,253.0,174.0
35,4,12,157.0,78.0,253.0,174.0
36,4,12,158.0,77.0,254.0,173.0
37,4,12,159.0,77.0,255.0,173.0
38,4,12,160.0,77.0,256.0,173.0
39,4,12,160.0,77.0,256.0,173.0
40,4,12,160.0,77.0,256.0,173.0
41,4,12,161.0,77.0,257.0,173.0
42,4,12,162.0,76.0,258.0,172.0
43,4,12,162.0,76.0,258.0,172.0
44,4,12,163.0,76.0,259.0,172.0
45,4,12,164.0,76.0,260.0,172.0
46,4,12,164.0,76.0,260.0,172.0
47,4,12,166.0,75.0,262.0,171.0
48,4,12,167.0,75.0,263.0,171.0
49,4,12,168.0,75.0,264.0,171.0
50,4,12,168.0,75.0,264.0,171.0
51,4,12,170.0,75.0,266.0,171.0
52,4,12,171.0,75.0,267.0,171.0
53,4,12,172.0,74.0,268.0,170.0
54,4,12,172.0,74.0,268.0,170.0
55,4,12,174.0,74.0,270.0,170.0
56,4,12,175.0,74.0,271.0,170.0
57,4,12,175.0,74.0,271.0,170.0
58,4,12,176.0,74.0,272.0,170.0
59,4,12,176.0,74.0,272.0,170.0
60,4,12,178.0,73.0,274.0,169.0
61,4,12,179.0,73.0,275.0,169.0
62,4,12,180.0,73.0,276.0,169.0
63,4,12,180.0,73.0,276.0,169.0
