StageName,InputFile,OutputFile
Face Cropping,/Users/bhuvaneshwaribhaskaran/PycharmProjects/videogaze/videoin/1.mp4,/Users/bhuvaneshwaribhaskaran/PycharmProjects/videogaze/crop/output/1.mp4_6_21.mp4

Frame no,Shot no,Face id,Crop_x_min,Crop_y_min,Crop_x_max,Crop_y_max
0,6,21,129.0,150.0,273.0,294.0
1,6,21,129.0,150.0,273.0,294.0
2,6,21,128.0,150.0,272.0,294.0
3,6,21,126.0,151.0,270.0,295.0
4,6,21,124.0,151.0,268.0,295.0
5,6,21,122.0,151.0,266.0,295.0
6,6,21,120.0,151.0,264.0,295.0
7,6,21,118.0,151.0,262.0,295.0
8,6,21,116.0,151.0,260.0,295.0
9,6,21,114.0,150.0,258.0,294.0
10,6,21,112.0,149.0,256.0,293.0
11,6,21,110.0,149.0,254.0,293.0
12,6,21,108.0,149.0,252.0,293.0
13,6,21,106.0,149.0,250.0,293.0
14,6,21,104.0,149.0,248.0,293.0
15,6,21,103.0,149.0,247.0,293.0
16,6,21,102.0,149.0,246.0,293.0
17,6,21,101.0,149.0,245.0,293.0
18,6,21,101.0,149.0,245.0,293.0
19,6,21,101.0,149.0,245.0,293.0
20,6,21,102.0,149.0,246.0,293.0
21,6,21,104.0,149.0,248.0,293.0
22,6,21,105.0,149.0,249.0,293.0
23,6,21,106.0,149.0,250.0,293.0
24,6,21,108.0,149.0,252.0,293.0
25,6,21,110.0,149.0,254.0,293.0
26,6,21,111.0,149.0,255.0,293.0
27,6,21,112.0,148.0,256.0,292.0
28,6,21,114.0,147.0,258.0,291.0
29,6,21,115.0,147.0,259.0,291.0
30,6,21,116.0,147.0,260.0,291.0
31,6,21,117.0,147.0,261.0,291.0
32,6,21,116.0,147.0,260.0,291.0
33,6,21,115.0,146.0,259.0,290.0
34,6,21,114.0,145.0,258.0,289.0
35,6,21,113.0,145.0,257.0,289.0
36,6,21,112.0,145.0,256.0,289.0
37,6,21,110.0,144.0,254.0,288.0
38,6,21,108.0,143.0,252.0,287.0
39,6,21,107.0,143.0,251.0,287.0
40,6,21,106.0,143.0,250.0,287.0
41,6,21,105.0,143.0,249.0,287.0
42,6,21,104.0,143.0,248.0,287.0
43,6,21,102.0,143.0,246.0,287.0
44,6,21,100.0,143.0,244.0,287.0
45,6,21,98.0,143.0,242.0,287.0
46,6,21,96.0,143.0,240.0,287.0
47,6,21,94.0,143.0,238.0,287.0
48,6,21,92.0,143.0,236.0,287.0
49,6,21,91.0,143.0,235.0,287.0
50,6,21,90.0,143.0,234.0,287.0
51,6,21,88.0,143.0,232.0,287.0
52,6,21,86.0,143.0,230.0,287.0
53,6,21,84.0,143.0,228.0,287.0
54,6,21,82.0,143.0,226.0,287.0
55,6,21,80.0,142.0,224.0,286.0
56,6,21,78.0,141.0,222.0,285.0
57,6,21,77.0,141.0,221.0,285.0
58,6,21,76.0,141.0,220.0,285.0
59,6,21,74.0,141.0,218.0,285.0
60,6,21,72.0,141.0,216.0,285.0
61,6,21,71.0,141.0,215.0,285.0
62,6,21,70.0,141.0,214.0,285.0
63,6,21,68.0,141.0,212.0,285.0
64,6,21,66.0,141.0,210.0,285.0
65,6,21,65.0,141.0,209.0,285.0
66,6,21,64.0,141.0,208.0,285.0
67,6,21,62.0,141.0,206.0,285.0
68,6,21,60.0,141.0,204.0,285.0
69,6,21,59.0,140.0,203.0,284.0
70,6,21,58.0,139.0,202.0,283.0
71,6,21,56.0,139.0,200.0,283.0
72,6,21,54.0,139.0,198.0,283.0
73,6,21,52.0,139.0,196.0,283.0
74,6,21,50.0,139.0,194.0,283.0
75,6,21,49.0,139.0,193.0,283.0
76,6,21,48.0,139.0,192.0,283.0
77,6,21,47.0,138.0,191.0,282.0
78,6,21,46.0,137.0,190.0,281.0
79,6,21,44.0,137.0,188.0,281.0
80,6,21,43.0,137.0,187.0,281.0
81,6,21,43.0,137.0,187.0,281.0
82,6,21,42.0,137.0,186.0,281.0
83,6,21,41.0,137.0,185.0,281.0
84,6,21,40.0,137.0,184.0,281.0
85,6,21,39.0,136.0,183.0,280.0
86,6,21,39.0,135.0,183.0,279.0
87,6,21,39.0,135.0,183.0,279.0
88,6,21,39.0,135.0,183.0,279.0
89,6,21,39.0,135.0,183.0,279.0
90,6,21,38.0,135.0,182.0,279.0
91,6,21,37.0,135.0,181.0,279.0
92,6,21,37.0,135.0,181.0,279.0
93,6,21,36.0,135.0,180.0,279.0
94,6,21,35.0,135.0,179.0,279.0
95,6,21,35.0,135.0,179.0,279.0
96,6,21,34.0,135.0,178.0,279.0
97,6,21,32.0,135.0,176.0,279.0
98,6,21,31.0,135.0,175.0,279.0
99,6,21,30.0,134.0,174.0,278.0
100,6,21,28.0,133.0,172.0,277.0
101,6,21,27.0,133.0,171.0,277.0
102,6,21,26.0,133.0,170.0,277.0
103,6,21,25.0,133.0,169.0,277.0
104,6,21,24.0,133.0,168.0,277.0
105,6,21,23.0,133.0,167.0,277.0
106,6,21,22.0,133.0,166.0,277.0
107,6,21,21.0,133.0,165.0,277.0
108,6,21,20.0,133.0,164.0,277.0
109,6,21,19.0,133.0,163.0,277.0
110,6,21,19.0,133.0,163.0,277.0
111,6,21,19.0,132.0,163.0,276.0
112,6,21,18.0,131.0,162.0,275.0
113,6,21,17.0,131.0,161.0,275.0
114,6,21,17.0,131.0,161.0,275.0
115,6,21,17.0,131.0,161.0,275.0
116,6,21,17.0,131.0,161.0,275.0
117,6,21,17.0,131.0,161.0,275.0
118,6,21,17.0,131.0,161.0,275.0
119,6,21,17.0,131.0,161.0,275.0
120,6,21,16.0,131.0,160.0,275.0
121,6,21,15.0,130.0,159.0,274.0
122,6,21,15.0,129.0,159.0,273.0
123,6,21,15.0,129.0,159.0,273.0
124,6,21,14.0,129.0,158.0,273.0
125,6,21,13.0,129.0,157.0,273.0
126,6,21,12.0,129.0,156.0,273.0
127,6,21,11.0,128.0,155.0,272.0
128,6,21,11.0,127.0,155.0,271.0
129,6,21,10.0,127.0,154.0,271.0
130,6,21,9.0,127.0,153.0,271.0
131,6,21,9.0,127.0,153.0,271.0
132,6,21,8.0,127.0,152.0,271.0
133,6,21,7.0,126.0,151.0,270.0
134,6,21,7.0,125.0,151.0,269.0
135,6,21,7.0,125.0,151.0,269.0
136,6,21,6.0,125.0,150.0,269.0
137,6,21,5.0,125.0,149.0,269.0
138,6,21,5.0,125.0,149.0,269.0
139,6,21,4.0,125.0,148.0,269.0
140,6,21,3.0,125.0,147.0,269.0
141,6,21,3.0,124.0,147.0,268.0
142,6,21,2.0,123.0,146.0,267.0
143,6,21,1.0,123.0,145.0,267.0
144,6,21,0.0,123.0,144.0,267.0
145,6,21,0,123.0,143.0,267.0
146,6,21,0,123.0,142.0,267.0
147,6,21,0,123.0,141.0,267.0
148,6,21,0,123.0,140.0,267.0
149,6,21,0,122.0,139.0,266.0
150,6,21,0,121.0,139.0,265.0
151,6,21,0,121.0,138.0,265.0
152,6,21,0,121.0,137.0,265.0
153,6,21,0,121.0,137.0,265.0
154,6,21,0,121.0,136.0,265.0
155,6,21,0,121.0,135.0,265.0
156,6,21,0,121.0,135.0,265.0
157,6,21,0,120.0,135.0,264.0
158,6,21,0,119.0,134.0,263.0
159,6,21,0,119.0,133.0,263.0
160,6,21,0,119.0,133.0,263.0
161,6,21,0,119.0,133.0,263.0
162,6,21,0,119.0,133.0,263.0
163,6,21,0,119.0,133.0,263.0
164,6,21,0,118.0,133.0,262.0
165,6,21,0,117.0,134.0,261.0
