StageName,InputFile,OutputFile
 face_detection,/Users/bhuvaneshwaribhaskaran/PycharmProjects/videogaze/videoin/1.mp4,/Users/bhuvaneshwaribhaskaran/PycharmProjects/videogaze/detect/output/1.mp4_faceDetections.csv

Frame number,Shot number,Shot end frame,Bounding boxes (x1_y1_x2_y2)
0,1,49,768_148_820_219
2,1,49,773_150_826_218
5,1,49,775_149_827_221
10,1,49,776_149_828_221
15,1,49,778_148_830_220
20,1,49,778_148_830_219
25,1,49,779_148_829_217
30,1,49,779_148_829_217
35,1,49,780_148_830_217
40,1,49,780_150_830_218
45,1,49,785_148_836_217
50,2,151,152_189_237_302,971_218_1071_326,1086_125_1147_211,147_109_210_183,1127_66_1177_140,75_102_126_167
51,2,151,973_218_1061_330,152_189_237_303,1083_124_1143_211,147_109_210_184,1127_66_1176_139,78_106_126_166
55,2,151,150_188_237_303,971_215_1059_327,1081_124_1141_212,74_101_126_166,1127_71_1174_140,146_107_208_185
60,2,151,149_187_237_304,967_212_1055_326,1081_124_1140_211,75_100_126_165,139_107_200_184,1127_71_1173_138
65,2,151,151_187_237_303,967_209_1055_321,1080_123_1139_211,75_99_126_165,139_107_200_184,1121_67_1171_137
70,2,151,151_187_237_303,967_206_1064_313,1079_122_1138_210,75_99_126_165,138_107_200_184,1121_67_1171_137
75,2,151,152_188_237_302,975_190_1065_306,1080_122_1138_209,74_98_126_164,138_107_199_184,1121_67_1171_136
80,2,151,152_187_237_302,983_184_1084_290,1073_129_1139_205,74_98_126_164,138_107_200_184,1121_67_1171_136
85,2,151,986_174_1085_283,153_187_237_301,1073_129_1139_205,74_97_126_163,138_107_200_184,1120_67_1171_136
90,2,151,989_170_1078_284,154_187_238_300,1074_128_1139_204,74_97_126_163,138_107_200_184,1120_66_1171_135
95,2,151,152_184_248_291,989_168_1080_281,1073_126_1138_199,74_97_126_163,139_106_200_184,1120_66_1171_136
100,2,151,153_184_248_290,995_167_1086_279,1074_125_1138_199,74_97_127_162,139_106_200_184,1120_66_1171_136
105,2,151,154_184_248_291,995_166_1088_281,1075_125_1138_199,75_98_123_166,1125_64_1173_135,139_106_200_184
